
loan_id,disbursement_date,amount,term_months,monthly_repayment,days_late
L1001,2025-06-16,pending,3,14760,45
L1002,2025-01-10,8000,12,720,-
L1003,2025-08-31,18500,3,6660,0
L1004,2025-09-07,,6,6300,0
L1005,27/05/2025,15000,12,1350,0
L1006,2025-04-06,35000,12,3150,-
L1007,20/04/2025,22000,6,3960,0
L1008,21-Jan-2025,22000,3,7920,5
L1009,31-Jan-2025,27000,6,4860,0
L1010,04-Sep-2025,pending,6,4860,0
L1011,02/06/2025,41000,6,7380,30
L1012,16-Jan-2025,30000,6,5400,0
L1013,16-Aug-2025,27000,6,4860,45
L1014,2025-01-16,35000,3,12600,0
L1015,12/02/2025,18500,6,3330,0
L1016,30/06/2025,18500,12,1665,15
L1017,2025-02-15,22000,3,7920,0
L1018,2025-03-14,KES 35000,3,12600,15
L1019,01-Sep-2025,41000,3,14760,0
L1020,13/04/2025,"9,500",6,1710,45
L1021,2025-02-11,12500,3.0,4500,-
L1022,31/08/2025,15000,12,1350,-
L1023,02/09/2025,18500,3,6660,15
L1024,04/05/2025,pending,6,4860,0
L1025,2025-05-13,30000,6,5400,0
L1026,18-Mar-2025,9500,3,3420,0
L1027,2025-07-17,41000,3,14760,30
L1028,2025-07-26,22000,12,1980,5
L1029,2025-07-07,9500,6,1710,30
L1030,25-Apr-2025,22000,12,1980,30
L1031,2025-05-01,22000,3,7920,5
L1032,21-Aug-2025,35000,3,12600,0
L1033,2025-05-03,12500,6,2250,5
L1034,2025-07-10,18500,6,3330,45
L1035,26-Jul-2025,KES 15000,12,1350,0
L1036,2025-05-21,,3,14760,0
L1037,2025-04-22,12500,12,1125,0
L1038,15-Jul-2025,30000,12,2700,5
L1039,18/08/2025,8000,12,720,30
L1040,08-Feb-2025,9500,3,3420,0
L1041,2025-02-14,35000,3,12600,0
L1042,16-May-2025,41000,12,3690,0
L1043,2025-03-12,8000,3,2880,5
L1044,06-Jun-2025,12500,6,2250,30
L1045,2025-05-10,9500,12,855,0
L1046,04/08/2025,KES 30000,12,2700,5
L1047,2025-04-20,12500,12,1125,5
L1048,06/02/2025,15000,12,1350,30
L1049,11-Feb-2025,12500,6,2250,0
L1050,2025-04-18,9500,6,1710,0 days
L1051,23-Apr-2025,,12,3690,0
L1052,2025-08-24,9500,3,3420,0
L1053,2025-07-13,8000,3,2880,15
L1054,18-May-2025,30000,6,5400,0
L1055,2025-04-19,8000,12,720,N/A
L1056,18/01/2025,30000,3,10800,5
L1057,2025-06-09,,6,1710,15
L1058,2025-02-16,15000,6,2700,0
L1059,09-May-2025, 22000 ,6.0,3960,0
L1060,05-Jan-2025,30000,3,10800,0
,,,,,
TOTAL,,=SUM(above),,,
L1061,2025-08-02,-5000,6,900,0
